State,Participation,Total Score,Year,Test
North Dakota,0.96,19.9,2019,ACT
Ohio,1.0,20.0,2019,ACT
Oklahoma,1.0,18.9,2019,ACT
Oregon,0.42,21.1,2019,ACT
Pennsylvania,0.17,23.6,2019,ACT
Rhode Island,0.12,24.7,2019,ACT
South Carolina,0.78,18.8,2019,ACT
South Dakota,0.75,21.6,2019,ACT
Tennessee,1.0,19.4,2019,ACT
Texas,0.39,20.5,2019,ACT
Utah,1.0,20.3,2019,ACT
Vermont,0.2,24.1,2019,ACT
Virginia,0.21,24.0,2019,ACT
Washington,0.24,22.1,2019,ACT
West Virginia,0.49,20.8,2019,ACT
Wisconsin,1.0,20.3,2019,ACT
Wyoming,1.0,19.8,2019,ACT
Alabama,0.05,1165.0,2017,SAT
Alaska,0.38,1080.0,2017,SAT
Arizona,0.3,1116.0,2017,SAT
Arkansas,0.03,1208.0,2017,SAT
California,0.53,1055.0,2017,SAT
Colorado,0.11,1201.0,2017,SAT
Connecticut,1.0,1041.0,2017,SAT
Delaware,1.0,996.0,2017,SAT
District of Columbia,1.0,950.0,2017,SAT
Florida,0.83,1017.0,2017,SAT
Georgia,0.61,1050.0,2017,SAT
Hawaii,0.55,1085.0,2017,SAT
Idaho,0.93,1005.0,2017,SAT
Illinois,0.09,1115.0,2017,SAT
Indiana,0.63,1074.0,2017,SAT
Iowa,0.02,1275.0,2017,SAT
Kansas,0.04,1260.0,2017,SAT
Kentucky,0.04,1247.0,2017,SAT
Louisiana,0.04,1198.0,2017,SAT
Maine,0.95,1012.0,2017,SAT
Maryland,0.69,1060.0,2017,SAT
Massachusetts,0.76,1107.0,2017,SAT
Michigan,1.0,1005.0,2017,SAT
Minnesota,0.03,1295.0,2017,SAT
Mississippi,0.02,1242.0,2017,SAT
Missouri,0.03,1271.0,2017,SAT
Montana,0.1,1196.0,2017,SAT
Nebraska,0.03,1253.0,2017,SAT
Nevada,0.26,1116.0,2017,SAT
New Hampshire,0.96,1052.0,2017,SAT
New Jersey,0.7,1056.0,2017,SAT
New Mexico,0.11,1138.0,2017,SAT
New York,0.67,1052.0,2017,SAT
North Carolina,0.49,1081.0,2017,SAT
North Dakota,0.02,1256.0,2017,SAT
Ohio,0.12,1149.0,2017,SAT
Oklahoma,0.07,1047.0,2017,SAT
Oregon,0.43,1108.0,2017,SAT
Pennsylvania,0.65,1071.0,2017,SAT
Rhode Island,0.71,1062.0,2017,SAT
South Carolina,0.5,1064.0,2017,SAT
South Dakota,0.03,1216.0,2017,SAT
Tennessee,0.05,1228.0,2017,SAT
Texas,0.62,1020.0,2017,SAT
Utah,0.03,1238.0,2017,SAT
Vermont,0.6,1114.0,2017,SAT
Virginia,0.65,1102.0,2017,SAT
Washington,0.64,1075.0,2017,SAT
West Virginia,0.14,1086.0,2017,SAT
Wisconsin,0.03,1291.0,2017,SAT
Wyoming,0.03,1230.0,2017,SAT
Alabama,0.06,1166.0,2018,SAT
Alaska,0.43,1106.0,2018,SAT
Arizona,0.29,1149.0,2018,SAT
Arkansas,0.05,1169.0,2018,SAT
California,0.6,1076.0,2018,SAT
Colorado,1.0,1025.0,2018,SAT
Connecticut,1.0,1053.0,2018,SAT
Delaware,1.0,998.0,2018,SAT
District of Columbia,0.92,977.0,2018,SAT
